datetime,US_GON_PRL_Actual,US_GON_PRL_Srv_Med,US_GON_PRL_Revised,US_GON_PRL_Prior
1998-01-01 17:00:00,5.0,,23.0,23.0
1997-12-01 17:00:00,23.0,,59.0,59.0
1997-11-01 17:00:00,59.0,,62.0,62.0
1997-10-01 17:00:00,62.0,,-69.0,-69.0
1997-09-01 17:00:00,-69.0,,26.0,26.0
1997-08-01 17:00:00,26.0,,59.0,59.0
1997-07-01 17:00:00,59.0,,-2.0,-2.0
1997-06-01 17:00:00,-2.0,,-5.0,-5.0
1997-05-01 17:00:00,-5.0,,10.0,10.0
1997-04-01 17:00:00,10.0,,5.0,5.0
1997-03-01 17:00:00,5.0,,22.0,22.0
1997-02-01 17:00:00,22.0,,6.0,6.0
1997-01-01 17:00:00,6.0,,11.0,11.0
1996-12-01 17:00:00,11.0,,-13.0,-13.0
1996-11-01 17:00:00,-13.0,,63.0,63.0
1996-10-01 17:00:00,63.0,,-43.0,-43.0
1996-09-01 17:00:00,-43.0,,19.0,19.0
1996-08-01 17:00:00,19.0,,-1.0,-1.0
1996-07-01 17:00:00,-1.0,,14.0,14.0
1996-06-01 17:00:00,14.0,,-17.0,-17.0
1996-05-01 17:00:00,-17.0,,47.0,47.0
1996-04-01 17:00:00,47.0,,35.0,35.0
1996-03-01 17:00:00,35.0,,-16.0,-16.0
1996-02-01 17:00:00,-16.0,,3.0,3.0
1996-01-01 17:00:00,3.0,,-1.0,-1.0
1995-12-01 17:00:00,-1.0,,34.0,34.0
1995-11-01 17:00:00,34.0,,1.0,1.0
1995-10-01 17:00:00,1.0,,-8.0,-8.0
1995-09-01 17:00:00,-8.0,,-8.0,-8.0
1995-08-01 17:00:00,-8.0,,27.0,27.0
1995-07-01 17:00:00,27.0,,-16.0,-16.0
1995-06-01 17:00:00,-16.0,,7.0,7.0
1995-05-01 17:00:00,7.0,,20.0,20.0
1995-04-01 17:00:00,20.0,,10.0,10.0
1995-03-01 17:00:00,10.0,,9.0,9.0
1995-02-01 17:00:00,9.0,,21.0,21.0
1995-01-01 17:00:00,21.0,,23.0,23.0
1994-12-01 17:00:00,23.0,,7.0,7.0
1994-11-01 17:00:00,7.0,,31.0,31.0
1994-10-01 17:00:00,31.0,,5.0,5.0
1994-09-01 17:00:00,5.0,,27.0,27.0
1994-08-01 17:00:00,27.0,,10.0,10.0
1994-07-01 17:00:00,10.0,,41.0,41.0
1994-06-01 17:00:00,41.0,,33.0,33.0
1994-05-01 17:00:00,33.0,,40.0,40.0
1994-04-01 17:00:00,40.0,,3.0,3.0
1994-03-01 17:00:00,3.0,,38.0,38.0
1994-02-01 17:00:00,38.0,,41.0,41.0
1994-01-01 17:00:00,41.0,,26.0,26.0
1993-12-01 17:00:00,26.0,,1.0,1.0
1993-11-01 17:00:00,1.0,,13.0,13.0
1993-10-01 17:00:00,13.0,,-32.0,-32.0
1993-09-01 17:00:00,-32.0,,91.0,91.0
1993-08-01 17:00:00,91.0,,18.0,18.0
1993-07-01 17:00:00,18.0,,13.0,13.0
1993-06-01 17:00:00,13.0,,31.0,31.0
1993-05-01 17:00:00,31.0,,5.0,5.0
1993-04-01 17:00:00,5.0,,1.0,1.0
1993-03-01 17:00:00,1.0,,23.0,23.0
1993-02-01 17:00:00,23.0,,37.0,37.0
1993-01-01 17:00:00,37.0,,13.0,13.0
1992-12-01 17:00:00,13.0,,-1.0,-1.0
1992-11-01 17:00:00,-1.0,,-54.0,-54.0
1992-10-01 17:00:00,-54.0,,66.0,
