datetime,US_DED_MoM_Actual,US_DED_MoM_Srv_Med,US_DED_MoM_Revised,US_DED_MoM_Prior
2002-05-01 17:00:00,3.90,,-2.4,-2.40
2002-04-01 17:00:00,-2.40,,3.1,3.10
2002-03-01 17:00:00,3.10,,-0.7,-0.70
2002-02-01 17:00:00,-0.70,,0.5,0.50
2002-01-01 17:00:00,0.50,,3.0,3.00
2001-12-01 17:00:00,3.00,,-1.8,-1.80
2001-11-01 17:00:00,-1.80,,-5.6,-5.60
2001-10-01 17:00:00,-5.60,,0.8,0.80
2001-09-01 17:00:00,0.80,,-4.0,-4.00
2001-08-01 17:00:00,-4.00,,-0.1,-0.10
2001-07-01 17:00:00,-0.10,,3.2,3.20
2001-06-01 17:00:00,3.20,,-4.5,-4.50
2001-05-01 17:00:00,-4.50,,-0.7,-0.70
2001-04-01 17:00:00,-0.70,,1.1,1.10
2001-03-01 17:00:00,1.10,,-6.9,-6.90
2001-02-01 17:00:00,-6.90,,2.0,2.00
2001-01-01 17:00:00,2.00,,0.7,0.70
2000-12-01 17:00:00,0.70,,-7.2,-7.20
2000-11-01 17:00:00,-7.20,,6.6,6.60
2000-10-01 17:00:00,6.60,,-0.8,-0.80
2000-09-01 17:00:00,-0.80,,-4.7,-4.70
2000-08-01 17:00:00,-4.70,,5.1,5.10
2000-07-01 17:00:00,5.10,,-3.4,-3.40
2000-06-01 17:00:00,-3.40,,1.5,1.50
2000-05-01 17:00:00,1.50,,4.8,4.80
2000-04-01 17:00:00,4.80,,-7.2,-7.20
2000-03-01 17:00:00,-7.20,,1.7,1.70
2000-02-01 17:00:00,1.70,,3.8,3.80
2000-01-01 17:00:00,3.80,,-2.2,-2.20
1999-12-01 17:00:00,-2.20,,1.1,1.10
1999-11-01 17:00:00,1.10,,0.0,0.00
1999-10-01 17:00:00,0.00,,1.4,1.40
1999-09-01 17:00:00,1.40,,2.6,2.60
1999-08-01 17:00:00,2.60,,-1.2,-1.20
1999-07-01 17:00:00,-1.20,,1.2,1.20
1999-06-01 17:00:00,1.20,,0.0,0.00
1999-05-01 17:00:00,0.00,,-0.9,-0.90
1999-04-01 17:00:00,-0.90,,-0.2,-0.20
1999-03-01 17:00:00,-0.20,,4.3,4.30
1999-02-01 17:00:00,4.30,,-2.5,-2.50
1999-01-01 17:00:00,-2.50,,1.9,1.90
1998-12-01 17:00:00,1.90,,-0.5,-0.50
1998-11-01 17:00:00,-0.50,,0.0,0.00
1998-10-01 17:00:00,0.00,,5.3,5.30
1998-09-01 17:00:00,5.30,,-1.3,-1.30
1998-08-01 17:00:00,-1.30,,-4.9,-4.90
1998-07-01 17:00:00,-4.90,,1.3,1.30
1998-06-01 17:00:00,1.30,,0.8,0.80
1998-05-01 17:00:00,0.80,,-1.9,-1.90
1998-04-01 17:00:00,-1.90,,4.0,4.00
1998-03-01 17:00:00,4.00,,-0.4,-0.40
1998-02-01 17:00:00,-0.40,,-8.5,-8.50
1998-01-01 17:00:00,-8.50,,7.3,7.30
1997-12-01 17:00:00,7.30,,0.0,0.00
1997-11-01 17:00:00,0.00,,0.9,0.90
1997-10-01 17:00:00,0.90,,-1.0,-1.00
1997-09-01 17:00:00,-1.00,,2.6,2.60
1997-08-01 17:00:00,2.60,,3.2,3.20
1997-07-01 17:00:00,3.20,,-2.5,-2.50
1997-06-01 17:00:00,-2.50,,2.9,2.90
1997-05-01 17:00:00,2.90,,-1.0,-1.00
1997-04-01 17:00:00,-1.00,,4.2,4.20
1997-03-01 17:00:00,4.20,,3.4,
