datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
8/1/1988 17:00,13.7,,18.4,18.4
7/1/1988 17:00,18.4,,3.7,3.7
6/1/1988 17:00,3.7,,13.4,13.4
5/1/1988 17:00,13.4,,20,20
4/1/1988 17:00,20,,40.7,40.7
3/1/1988 17:00,40.7,,18.6,18.6
2/1/1988 17:00,18.6,,63.9,63.9
1/1/1988 17:00,63.9,,32,32
12/1/1987 17:00,32,,65.5,65.5
11/1/1987 17:00,65.5,,45.7,45.7
10/1/1987 17:00,45.7,,30.7,30.7
9/1/1987 17:00,30.7,,26.1,26.1
8/1/1987 17:00,26.1,,33.7,33.7
7/1/1987 17:00,33.7,,56.2,56.2
6/1/1987 17:00,56.2,,47.5,47.5
5/1/1987 17:00,47.5,,50.6,50.6
4/1/1987 17:00,50.6,,29.4,29.4
3/1/1987 17:00,29.4,,22.3,22.3
2/1/1987 17:00,22.3,,-2.3,-2.3
1/1/1987 17:00,-2.3,,22.4,22.4
12/1/1986 17:00,22.4,,24.4,24.4
11/1/1986 17:00,24.4,,10.5,10.5
10/1/1986 17:00,10.5,,7.6,7.6
9/1/1986 17:00,7.6,,0.2,0.2
8/1/1986 17:00,0.2,,39.7,39.7
7/1/1986 17:00,39.7,,-30.9,-30.9
6/1/1986 17:00,-30.9,,81.8,81.8
5/1/1986 17:00,81.8,,8.4,8.4
4/1/1986 17:00,8.4,,14.4,14.4
3/1/1986 17:00,14.4,,43,43
2/1/1986 17:00,43,,41.5,41.5
1/1/1986 17:00,41.5,,65,65
12/1/1985 17:00,65,,30.7,30.7
11/1/1985 17:00,30.7,,11.2,11.2
10/1/1985 17:00,11.2,,31,31
9/1/1985 17:00,31,,54.1,54.1
8/1/1985 17:00,54.1,,13.3,13.3
7/1/1985 17:00,13.3,,42.2,42.2
6/1/1985 17:00,42.2,,40.1,40.1
5/1/1985 17:00,40.1,,25.1,25.1
4/1/1985 17:00,25.1,,24.6,24.6
3/1/1985 17:00,24.6,,51.4,51.4
2/1/1985 17:00,51.4,,39.2,39.2
1/1/1985 17:00,39.2,,3.4,3.4
12/1/1984 17:00,3.4,,13.9,13.9
11/1/1984 17:00,13.9,,24.5,24.5
10/1/1984 17:00,24.5,,-7.3,-7.3
9/1/1984 17:00,-7.3,,42.1,42.1
