datetime,EUR_CPI_MoM_Actual,EUR_CPI_MoM_Srv_Med,EUR_CPI_MoM_Revised,EUR_CPI_MoM_Prior,Is_P
2012-11-01 17:00:00,0.20,,0.7,0.70,0.0
2012-10-01 17:00:00,0.70,,0.4,0.40,0.0
2012-09-01 17:00:00,0.40,,-0.5,-0.50,0.0
2012-08-01 17:00:00,-0.50,,-0.1,-0.10,0.0
2012-07-01 17:00:00,-0.10,,-0.1,-0.10,0.0
2012-06-01 17:00:00,-0.10,,0.5,0.50,0.0
2012-05-01 17:00:00,0.50,,1.3,1.30,0.0
2012-04-01 17:00:00,1.30,,0.5,0.50,0.0
2012-03-01 17:00:00,0.50,,-0.8,-0.80,0.0
2012-02-01 17:00:00,-0.80,,0.3,0.30,0.0
2012-01-01 17:00:00,0.30,,0.1,0.10,0.0
2011-12-01 17:00:00,0.10,,0.3,0.30,0.0
2011-11-01 17:00:00,0.30,,0.8,0.80,0.0
2011-10-01 17:00:00,0.80,,0.2,0.20,0.0
2011-09-01 17:00:00,0.20,,-0.6,-0.60,0.0
2011-08-01 17:00:00,-0.60,,0.0,0.00,0.0
2011-07-01 17:00:00,0.00,,0.0,0.00,0.0
2011-06-01 17:00:00,0.00,,0.6,0.60,0.0
2011-05-01 17:00:00,0.60,,1.4,1.40,0.0
2011-04-01 17:00:00,1.40,,0.4,0.40,0.0
2011-03-01 17:00:00,0.40,,-0.7,-0.70,0.0
2011-02-01 17:00:00,-0.70,,0.6,0.60,0.0
2011-01-01 17:00:00,0.60,,0.1,0.10,0.0
2010-12-01 17:00:00,0.10,,0.4,0.40,0.0
2010-11-01 17:00:00,0.40,,0.2,0.20,0.0
2010-10-01 17:00:00,0.20,,0.2,0.20,0.0
2010-09-01 17:00:00,0.20,,-0.3,-0.30,0.0
2010-08-01 17:00:00,-0.30,,0.0,0.00,0.0
2010-07-01 17:00:00,0.00,,0.1,0.10,0.0
2010-06-01 17:00:00,0.10,,0.5,0.50,0.0
2010-05-01 17:00:00,0.50,,0.9,0.90,0.0
2010-04-01 17:00:00,0.90,,0.3,0.30,0.0
2010-03-01 17:00:00,0.30,,-0.8,-0.80,0.0
2010-02-01 17:00:00,-0.80,,0.3,0.30,0.0
2010-01-01 17:00:00,0.30,,0.1,0.10,0.0
2009-12-01 17:00:00,0.10,,0.2,0.20,0.0
2009-11-01 17:00:00,0.20,,0.0,0.00,0.0
2009-10-01 17:00:00,0.00,,0.3,0.30,0.0
2009-09-01 17:00:00,0.30,,-0.7,-0.70,0.0
2009-08-01 17:00:00,-0.70,,0.2,0.20,0.0
2009-07-01 17:00:00,0.20,,0.1,0.10,0.0
2009-06-01 17:00:00,0.10,,0.4,0.40,0.0
2009-05-01 17:00:00,0.40,,0.4,0.40,0.0
2009-04-01 17:00:00,0.40,,0.4,0.40,0.0
2009-03-01 17:00:00,0.40,,-0.8,-0.80,0.0
2009-02-01 17:00:00,-0.80,,-0.1,-0.10,0.0
2009-01-01 17:00:00,-0.10,,-0.5,-0.50,0.0
2008-12-01 17:00:00,-0.50,,0.0,0.00,0.0
2008-11-01 17:00:00,0.00,,0.2,0.20,0.0
2008-10-01 17:00:00,0.20,,-0.1,-0.10,0.0
2008-09-01 17:00:00,-0.10,,-0.2,-0.20,0.0
2008-08-01 17:00:00,-0.20,,0.4,0.40,0.0
2008-07-01 17:00:00,0.40,,0.6,0.60,0.0
2008-06-01 17:00:00,0.60,,0.3,0.30,0.0
2008-05-01 17:00:00,0.30,,1.0,1.00,0.0
2008-04-01 17:00:00,1.00,,0.3,0.30,0.0
2008-03-01 17:00:00,0.30,,-0.4,-0.40,0.0
2008-02-01 17:00:00,-0.40,,0.4,0.40,0.0
2008-01-01 17:00:00,0.40,,0.5,0.50,0.0
2007-12-01 17:00:00,0.50,,0.5,0.50,0.0
2007-11-01 17:00:00,0.50,,0.4,0.40,0.0
2007-10-01 17:00:00,0.40,,0.1,0.10,0.0
2007-09-01 17:00:00,0.10,,-0.2,-0.20,0.0
2007-08-01 17:00:00,-0.20,,0.1,0.10,0.0
2007-07-01 17:00:00,0.10,,0.2,0.20,0.0
2007-06-01 17:00:00,0.20,,0.6,0.60,0.0
2007-05-01 17:00:00,0.60,,0.7,0.70,0.0
2007-04-01 17:00:00,0.70,,0.3,0.30,0.0
2007-03-01 17:00:00,0.30,,-0.5,-0.50,0.0
2007-02-01 17:00:00,-0.50,,0.4,0.40,0.0
2007-01-01 17:00:00,0.40,,0.0,0.00,0.0
