datetime,GE_SPMI_MoM_Actual,GE_SPMI_MoM_Srv_Med,GE_SPMI_MoM_Revised,GE_SPMI_MoM_Prior,Is_P
2011-09-05 15:55:00,51.1,50.4,50.4,52.9,0
2016-06-03 15:55:00,55.2,55.2,55.2,54.5,0
2016-05-23 15:30:00,55.2,54.6,54.5,54.6,1
2011-08-23 15:30:00,50.4,52.0,52.9,52.9,1
2016-05-04 15:55:00,54.5,54.6,54.6,55.1,0
2011-08-03 15:55:00,52.9,52.9,52.9,56.7,0
2016-04-22 15:30:00,54.6,55.2,55.1,55.5,1
2011-07-21 15:30:00,52.9,56.1,56.7,58.3,1
2016-04-05 15:55:00,55.1,55.5,55.5,55.3,0
2011-07-05 15:55:00,56.7,58.3,58.3,56.1,0
2011-06-23 15:30:00,58.3,55.7,56.1,54.9,1
2016-03-22 16:30:00,55.5,55.0,55.3,55.1,1
2011-06-01 15:55:00,56.1,55.0,54.9,56.8,0
2016-03-03 16:55:00,55.3,55.1,55.1,55.0,0
2016-02-22 16:30:00,55.1,54.7,55.0,55.4,1
2011-05-23 15:30:00,54.9,57.1,56.8,57.7,1
2011-05-04 15:55:00,56.8,57.7,57.7,58.6,0
2016-02-03 16:55:00,55.0,55.4,55.4,56.0,0
2011-04-19 15:30:00,57.7,59.9,60.1,60.1,1
2016-01-22 16:30:00,55.4,55.6,56.0,55.4,1
2011-03-24 16:30:00,60.1,58.4,58.6,59.5,1
2016-01-06 16:55:00,56.0,55.4,55.4,55.6,0
2015-12-16 16:30:00,55.4,55.5,55.6,55.6,1
2011-03-03 16:55:00,58.6,59.5,59.5,60.3,0
2011-02-21 16:30:00,59.5,60.0,60.3,60.0,1
2015-12-03 16:55:00,55.6,55.6,55.6,54.5,0
2015-11-23 16:30:00,55.6,54.3,54.5,55.2,1
2011-02-03 16:55:00,60.3,60.0,60.0,59.2,0
2011-01-24 16:30:00,60.0,59.2,59.2,58.3,1
2015-11-04 16:55:00,54.5,55.2,55.2,54.1,0
2010-12-16 16:30:00,58.3,59.1,59.2,58.6,1
2015-10-23 15:30:00,55.2,53.9,54.1,54.3,1
2010-12-03 16:55:00,59.2,58.6,58.6,54.9,0
2015-10-05 15:55:00,54.1,54.3,54.3,54.9,0
2010-11-23 16:30:00,58.6,55.9,56.0,56.6,1
2015-09-23 15:30:00,54.3,54.6,54.9,53.6,1
2015-09-03 15:55:00,54.9,53.6,53.6,53.8,0
2010-10-21 15:30:00,56.6,54.7,54.9,54.6,1
2010-09-23 15:30:00,54.6,57.3,57.2,58.5,1
2015-08-21 15:30:00,53.6,53.9,53.8,53.7,1
2015-08-05 15:55:00,53.8,53.7,53.7,53.8,0
2010-08-23 15:30:00,58.5,56.3,56.5,57.3,1
2010-07-22 15:30:00,57.3,54.6,54.8,54.6,1
2015-07-24 15:30:00,53.7,53.9,53.8,54.2,1
2015-07-03 15:55:00,53.8,54.2,54.2,53.0,0
2010-06-23 15:30:00,54.6,54.5,54.8,53.7,1
2015-06-23 15:30:00,54.2,53.0,53.0,52.9,1
2010-05-21 15:30:00,53.7,55.5,55.2,55.0,1
2015-06-03 15:55:00,53.0,52.9,52.9,54.0,0
2010-04-22 15:30:00,55.0,55.2,54.9,54.7,1
2015-05-21 15:30:00,52.9,53.9,54.0,54.4,1
2010-04-07 15:55:00,54.9,54.7,54.7,51.9,0
2010-03-24 16:30:00,54.7,52.2,51.9,51.7,1
2015-05-06 15:55:00,54.0,54.4,54.4,55.4,0
2010-03-03 16:55:00,51.9,51.7,51.7,52.2,0
2015-04-23 15:30:00,54.4,55.5,55.4,55.3,1
2010-02-19 16:30:00,51.7,52.5,52.2,51.2,1
2015-04-07 15:55:00,55.4,55.3,55.3,54.7,0
2010-02-03 16:55:00,52.2,51.2,51.2,54.1,0
2015-03-24 16:30:00,55.3,55.0,54.7,55.5,1
2015-03-04 16:55:00,54.7,55.5,55.5,54.0,0
2010-01-21 16:30:00,51.2,53.1,52.7,53.1,1
2015-02-20 16:30:00,55.5,54.2,54.0,52.7,1
2009-12-16 16:30:00,53.1,52.0,51.4,51.5,1
2009-11-23 16:30:00,51.5,51.2,50.7,50.9,1
2015-02-04 16:55:00,54.0,52.7,52.7,52.1,0
2015-01-23 16:30:00,52.7,52.5,52.1,51.4,1
2009-10-23 15:30:00,50.9,52.5,52.1,52.2,1
2009-09-23 15:30:00,52.2,54.0,53.8,,1
2015-01-06 16:55:00,52.1,51.4,51.4,52.1,0
2009-08-21 15:30:00,54.1,48.8,48.1,48.4,0
2014-12-16 16:30:00,51.4,52.6,52.1,52.1,1
2009-07-24 15:30:00,48.4,46.0,45.2,44.3,0
2014-12-03 16:55:00,52.1,52.1,52.1,54.4,0
2009-06-23 15:30:00,44.3,46.0,45.2,45.2,0
2014-11-20 16:30:00,52.1,54.5,54.4,54.8,1
2014-11-05 16:55:00,54.4,54.8,54.8,55.7,0
2009-06-03 15:55:00,45.2,46.0,46.0,46.0,0
