datetime,US_RC_Actual,US_RC_Srv_Med,US_RC_Revised,US_RC_Prior
5/1/2001 17:00,1,,-0.5,-0.5
4/1/2001 17:00,-0.5,,-0.2,-0.2
3/1/2001 17:00,-0.2,,-0.2,-0.2
2/1/2001 17:00,-0.2,,0.5,0.5
1/1/2001 17:00,0.5,,0.2,0.2
12/1/2000 17:00,0.2,,-0.2,-0.2
11/1/2000 17:00,-0.2,,1.5,1.5
10/1/2000 17:00,1.5,,0.5,0.5
9/1/2000 17:00,0.5,,0.2,0.2
8/1/2000 17:00,0.2,,0.4,0.4
7/1/2000 17:00,0.4,,0.2,0.2
6/1/2000 17:00,0.2,,0.3,0.3
5/1/2000 17:00,0.3,,1.3,1.3
4/1/2000 17:00,1.3,,1.2,1.2
3/1/2000 17:00,1.2,,-2.4,-2.4
2/1/2000 17:00,-2.4,,2.8,2.8
1/1/2000 17:00,2.8,,0.4,0.4
12/1/1999 17:00,0.4,,0,0
11/1/1999 17:00,0,,1.2,1.2
10/1/1999 17:00,1.2,,0.6,0.6
9/1/1999 17:00,0.6,,0.1,0.1
8/1/1999 17:00,0.1,,0.4,0.4
7/1/1999 17:00,0.4,,0.7,0.7
6/1/1999 17:00,0.7,,0.4,0.4
5/1/1999 17:00,0.4,,0.5,0.5
4/1/1999 17:00,0.5,,1,1
3/1/1999 17:00,1,,0.6,0.6
2/1/1999 17:00,0.6,,0.6,0.6
1/1/1999 17:00,0.6,,0.7,0.7
12/1/1998 17:00,0.7,,1,1
11/1/1998 17:00,1,,-0.2,-0.2
10/1/1998 17:00,-0.2,,0.3,0.3
9/1/1998 17:00,0.3,,0.9,0.9
8/1/1998 17:00,0.9,,0.3,0.3
7/1/1998 17:00,0.3,,0.3,0.3
6/1/1998 17:00,0.3,,0.9,0.9
5/1/1998 17:00,0.9,,0.3,0.3
4/1/1998 17:00,0.3,,0.5,0.5
3/1/1998 17:00,0.5,,0.7,0.7
2/1/1998 17:00,0.7,,-0.3,-0.3
1/1/1998 17:00,-0.3,,0.5,0.5
12/1/1997 17:00,0.5,,0.2,0.2
11/1/1997 17:00,0.2,,0.4,0.4
10/1/1997 17:00,0.4,,0.1,0.1
9/1/1997 17:00,0.1,,0.9,0.9
8/1/1997 17:00,0.9,,0.9,0.9
7/1/1997 17:00,0.9,,0,0
6/1/1997 17:00,0,,-0.6,-0.6
5/1/1997 17:00,-0.6,,0.7,0.7
4/1/1997 17:00,0.7,,0.7,0.7
3/1/1997 17:00,0.7,,-0.3,-0.3
2/1/1997 17:00,-0.3,,0.9,0.9
1/1/1997 17:00,0.9,,0,0
12/1/1996 17:00,0,,1,1
11/1/1996 17:00,1,,0.8,0.8
10/1/1996 17:00,0.8,,0.3,0.3
9/1/1996 17:00,0.3,,0.2,0.2
8/1/1996 17:00,0.2,,0,0
7/1/1996 17:00,0,,0.4,0.4
6/1/1996 17:00,0.4,,0.9,0.9
5/1/1996 17:00,0.9,,0.9,0.9
4/1/1996 17:00,0.9,,1.1,1.1
3/1/1996 17:00,1.1,,-1.2,-1.2
2/1/1996 17:00,-1.2,,0.5,0.5
1/1/1996 17:00,0.5,,1.7,1.7
12/1/1995 17:00,1.7,,-0.7,-0.7
11/1/1995 17:00,-0.7,,0.9,0.9
10/1/1995 17:00,0.9,,0.4,0.4
9/1/1995 17:00,0.4,,0.1,0.1
8/1/1995 17:00,0.1,,0.3,0.3
7/1/1995 17:00,0.3,,0.9,0.9
6/1/1995 17:00,0.9,,0.4,0.4
5/1/1995 17:00,0.4,,0.8,0.8
4/1/1995 17:00,0.8,,-1.5,-1.5
3/1/1995 17:00,-1.5,,0.8,0.8
2/1/1995 17:00,0.8,,0.4,0.4
1/1/1995 17:00,0.4,,0,0
12/1/1994 17:00,0,,0.8,0.8
11/1/1994 17:00,0.8,,0.2,0.2
10/1/1994 17:00,0.2,,1.2,1.2
9/1/1994 17:00,1.2,,0.2,0.2
8/1/1994 17:00,0.2,,1.3,1.3
