datetime,CAD_CPI_MoM_Actual,CAD_CPI_MoM_Srv_Med,CAD_CPI_MoM_Revised,CAD_CPI_MoM_Prior
8/1/1999 17:00,0.2,,0.2,0.2
7/1/1999 17:00,0.2,,0.2,0.2
6/1/1999 17:00,0.2,,0.5,0.5
5/1/1999 17:00,0.5,,0.4,0.4
4/1/1999 17:00,0.4,,0.1,0.1
3/1/1999 17:00,0.1,,0.2,0.2
2/1/1999 17:00,0.2,,-0.3,-0.3
1/1/1999 17:00,-0.3,,0,0
12/1/1998 17:00,0,,0.4,0.4
11/1/1998 17:00,0.4,,-0.2,-0.2
10/1/1998 17:00,-0.2,,0,0
9/1/1998 17:00,0,,0,0
8/1/1998 17:00,0,,0.1,0.1
7/1/1998 17:00,0.1,,0.3,0.3
6/1/1998 17:00,0.3,,-0.1,-0.1
5/1/1998 17:00,-0.1,,0.1,0.1
4/1/1998 17:00,0.1,,0.1,0.1
3/1/1998 17:00,0.1,,0.6,0.6
2/1/1998 17:00,0.6,,-0.1,-0.1
1/1/1998 17:00,-0.1,,-0.1,-0.1
12/1/1997 17:00,-0.1,,0,0
11/1/1997 17:00,0,,0,0
10/1/1997 17:00,0,,0.1,0.1
9/1/1997 17:00,0.1,,0,0
8/1/1997 17:00,0,,0.2,0.2
7/1/1997 17:00,0.2,,0.1,0.1
6/1/1997 17:00,0.1,,0,0
5/1/1997 17:00,0,,0.1,0.1
4/1/1997 17:00,0.1,,0.2,0.2
3/1/1997 17:00,0.2,,0.2,0.2
2/1/1997 17:00,0.2,,0,0
1/1/1997 17:00,0,,0.4,0.4
12/1/1996 17:00,0.4,,0.2,0.2
11/1/1996 17:00,0.2,,0.1,0.1
10/1/1996 17:00,0.1,,0,0
9/1/1996 17:00,0,,0,0
8/1/1996 17:00,0,,0,0
7/1/1996 17:00,0,,0.3,0.3
6/1/1996 17:00,0.3,,0.2,0.2
5/1/1996 17:00,0.2,,0.5,0.5
4/1/1996 17:00,0.5,,0.1,0.1
3/1/1996 17:00,0.1,,0.2,0.2
2/1/1996 17:00,0.2,,-0.2,-0.2
1/1/1996 17:00,-0.2,,0.3,0.3
12/1/1995 17:00,0.3,,-0.1,-0.1
11/1/1995 17:00,-0.1,,0.1,0.1
10/1/1995 17:00,0.1,,-0.2,-0.2
9/1/1995 17:00,-0.2,,0.2,0.2
8/1/1995 17:00,0.2,,0,0
7/1/1995 17:00,0,,0.2,0.2
6/1/1995 17:00,0.2,,0.3,0.3
5/1/1995 17:00,0.3,,0.2,0.2
4/1/1995 17:00,0.2,,0.5,0.5
3/1/1995 17:00,0.5,,0.3,0.3
2/1/1995 17:00,0.3,,0.1,0.1
1/1/1995 17:00,0.1,,0.6,0.6
12/1/1994 17:00,0.6,,-0.2,-0.2
11/1/1994 17:00,-0.2,,0.1,0.1
10/1/1994 17:00,0.1,,0.1,0.1
9/1/1994 17:00,0.1,,0.4,0.4
