datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
1987-09-01 17:00:00,30.7,,26.1,26.1
1987-08-01 17:00:00,26.1,,33.7,33.7
1987-07-01 17:00:00,33.7,,56.2,56.2
1987-06-01 17:00:00,56.2,,47.5,47.5
1987-05-01 17:00:00,47.5,,50.6,50.6
1987-04-01 17:00:00,50.6,,29.4,29.4
1987-03-01 17:00:00,29.4,,22.3,22.3
1987-02-01 17:00:00,22.3,,-2.3,-2.3
1987-01-01 17:00:00,-2.3,,22.4,22.4
1986-12-01 17:00:00,22.4,,24.4,24.4
1986-11-01 17:00:00,24.4,,10.5,10.5
1986-10-01 17:00:00,10.5,,7.6,7.6
1986-09-01 17:00:00,7.6,,0.2,0.2
1986-08-01 17:00:00,0.2,,39.7,39.7
1986-07-01 17:00:00,39.7,,-30.9,-30.9
1986-06-01 17:00:00,-30.9,,81.8,81.8
1986-05-01 17:00:00,81.8,,8.4,8.4
1986-04-01 17:00:00,8.4,,14.4,14.4
1986-03-01 17:00:00,14.4,,43.0,43
1986-02-01 17:00:00,43,,41.5,41.5
1986-01-01 17:00:00,41.5,,65.0,65
1985-12-01 17:00:00,65,,30.7,30.7
1985-11-01 17:00:00,30.7,,11.2,11.2
1985-10-01 17:00:00,11.2,,31.0,31
1985-09-01 17:00:00,31,,54.1,54.1
1985-08-01 17:00:00,54.1,,13.3,13.3
1985-07-01 17:00:00,13.3,,42.2,42.2
1985-06-01 17:00:00,42.2,,40.1,40.1
1985-05-01 17:00:00,40.1,,25.1,25.1
1985-04-01 17:00:00,25.1,,24.6,24.6
1985-03-01 17:00:00,24.6,,51.4,51.4
1985-02-01 17:00:00,51.4,,39.2,39.2
1985-01-01 17:00:00,39.2,,3.4,3.4
1984-12-01 17:00:00,3.4,,13.9,13.9
1984-11-01 17:00:00,13.9,,24.5,24.5
1984-10-01 17:00:00,24.5,,-7.3,-7.3
1984-09-01 17:00:00,-7.3,,42.1,42.1
1984-08-01 17:00:00,42.1,,69.0,69
1984-07-01 17:00:00,69,,47.0,47
1984-06-01 17:00:00,47,,-7.4,-7.4
1984-05-01 17:00:00,-7.4,,2.0,2
1984-04-01 17:00:00,2,,35.3,35.3
1984-03-01 17:00:00,35.3,,-18.8,-18.8
1984-02-01 17:00:00,-18.8,,25.4,25.4
1984-01-01 17:00:00,25.4,,-1.3,-1.3
1983-12-01 17:00:00,-1.3,,-10.9,-10.9
1983-11-01 17:00:00,-10.9,,47.6,47.6
1983-10-01 17:00:00,47.6,,53.2,53.2
1983-09-01 17:00:00,53.2,,52.0,52
1983-08-01 17:00:00,52,,68.9,68.9
1983-07-01 17:00:00,68.9,,19.9,19.9
1983-06-01 17:00:00,19.9,,57.7,57.7
1983-05-01 17:00:00,57.7,,56.7,56.7
1983-04-01 17:00:00,56.7,,17.1,17.1
1983-03-01 17:00:00,17.1,,27.0,27
1983-02-01 17:00:00,27,,10.0,10
1983-01-01 17:00:00,10,,-23.1,-23.1
1982-12-01 17:00:00,-23.1,,-19.5,-19.5
1982-11-01 17:00:00,-19.5,,-29.6,-29.6
1982-10-01 17:00:00,-29.6,,-57.3,-57.3
1982-09-01 17:00:00,-57.3,,-47.0,-47
1982-08-01 17:00:00,-47,,-81.3,-81.3
1982-07-01 17:00:00,-81.3,,-54.4,-54.4
1982-06-01 17:00:00,-54.4,,-64.2,-64.2
1982-05-01 17:00:00,-64.2,,-26.4,-26.4
1982-04-01 17:00:00,-26.4,,-38.7,-38.7
1982-03-01 17:00:00,-38.7,,-30.4,-30.4
1982-02-01 17:00:00,-30.4,,-55.5,-55.5
