datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
2009-05-06 09:30:00,2.2,0.5,-2.0,-2.0,0.0
2009-04-01 08:30:00,-2.0,-0.5,0.2,0.2,0.0
2009-03-03 08:30:00,0.2,-0.5,3.8,0.8,0.0
2009-02-18 08:30:00,0.8,1.0,0.1,3.8,0.0
2009-02-04 08:30:00,3.8,0.3,0.1,0.1,0.0
2009-01-07 08:30:00,0.1,,0.2,0.2,0.0
2008-12-02 08:30:00,0.2,0.2,0.2,0.1,0.0
2008-11-17 08:30:00,0.1,0.4,-0.6,0.2,0.0
2008-11-03 08:30:00,0.2,0.2,0.2,0.3,0.0
2008-09-30 09:30:00,0.3,0.1,0.1,0.1,0.0
2008-09-09 09:30:00,0.1,0.5,-1.0,-1.0,0.0
2008-07-31 09:30:00,-1.0,0.1,0.7,0.7,0.0
2008-07-02 09:30:00,0.7,0.1,-0.2,-0.2,0.0
2008-06-02 10:30:00,-0.2,0.2,0.5,0.5,0.0
2008-05-02 09:30:00,0.5,0.3,-0.1,-0.1,0.0
2008-04-04 09:30:00,-0.1,0.3,0.0,0.0,0.0
2008-03-04 08:30:00,0.0,0.5,0.5,-0.20,0.0
2008-02-01 17:00:00,-0.20,,0.4,0.40,0.0
2008-01-01 17:00:00,0.40,,0.6,0.60,0.0
2007-12-01 17:00:00,0.60,,0.2,0.20,0.0
2007-11-01 17:00:00,0.20,,1.1,1.10,0.0
2007-10-01 17:00:00,1.10,,0.6,0.60,0.0
2007-09-01 17:00:00,0.60,,0.8,0.80,0.0
2007-08-01 17:00:00,0.80,,1.6,1.60,0.0
2007-07-01 17:00:00,1.60,,0.0,0.00,0.0
2007-06-01 17:00:00,0.00,,-0.7,-0.70,0.0
2007-05-01 17:00:00,-0.70,,1.3,1.30,0.0
2007-04-01 17:00:00,1.30,,1.2,1.20,0.0
2007-03-01 17:00:00,1.20,,1.1,1.10,0.0
2007-02-01 17:00:00,1.10,,0.3,0.30,0.0
2007-01-01 17:00:00,0.30,,0.1,0.10,0.0
2006-12-01 17:00:00,0.10,,1.0,1.00,0.0
2006-11-01 17:00:00,1.00,,0.4,0.40,0.0
2006-10-01 17:00:00,0.40,,0.4,0.40,0.0
2006-09-01 17:00:00,0.40,,0.2,0.20,0.0
2006-08-01 17:00:00,0.20,,0.8,0.80,0.0
2006-07-01 17:00:00,0.80,,0.4,0.40,0.0
2006-06-01 17:00:00,0.40,,1.2,1.20,0.0
2006-05-01 17:00:00,1.20,,0.5,0.50,0.0
2006-04-01 17:00:00,0.50,,0.9,0.90,0.0
2006-03-01 17:00:00,0.90,,0.7,0.70,0.0
2006-02-01 17:00:00,0.70,,0.4,0.40,0.0
2006-01-01 17:00:00,0.40,,0.5,0.50,0.0
2005-12-01 17:00:00,0.50,,-0.1,-0.10,0.0
2005-11-01 17:00:00,-0.10,,0.0,0.00,0.0
2005-10-01 17:00:00,0.00,,0.7,0.70,0.0
2005-09-01 17:00:00,0.70,,-0.2,-0.20,0.0
2005-08-01 17:00:00,-0.20,,0.9,0.90,0.0
2005-07-01 17:00:00,0.90,,1.2,1.20,0.0
2005-06-01 17:00:00,1.20,,-0.9,-0.90,0.0
2005-05-01 17:00:00,-0.90,,-0.3,-0.30,0.0
2005-04-01 17:00:00,-0.30,,0.9,0.90,0.0
2005-03-01 17:00:00,0.90,,0.1,0.10,0.0
2005-02-01 17:00:00,0.10,,0.0,0.00,0.0
2005-01-01 17:00:00,0.00,,-0.2,-0.20,0.0
2004-12-01 17:00:00,-0.20,,-1.0,-1.00,0.0
2004-11-01 17:00:00,-1.00,,1.7,1.70,0.0
2004-10-01 17:00:00,1.70,,0.0,0.00,0.0
2004-09-01 17:00:00,0.00,,-0.1,-0.10,0.0
2004-08-01 17:00:00,-0.10,,1.0,1.00,0.0
2004-07-01 17:00:00,1.00,,0.6,0.60,0.0
2004-06-01 17:00:00,0.60,,-0.2,-0.20,0.0
2004-05-01 17:00:00,-0.20,,0.7,0.70,0.0
2004-04-01 17:00:00,0.70,,0.1,0.10,0.0
2004-03-01 17:00:00,0.10,,1.0,1.00,0.0
2004-02-01 17:00:00,1.00,,-0.2,-0.20,0.0
2004-01-01 17:00:00,-0.20,,1.2,1.20,0.0
2003-12-01 17:00:00,1.20,,1.1,1.10,0.0
2003-11-01 17:00:00,1.10,,1.3,1.30,0.0
2003-10-01 17:00:00,1.30,,0.6,0.60,0.0
2003-09-01 17:00:00,0.60,,1.6,1.60,0.0
2003-08-01 17:00:00,1.60,,-0.1,-0.10,0.0
2003-07-01 17:00:00,-0.10,,0.7,0.70,0.0
2003-06-01 17:00:00,0.70,,1.1,1.10,0.0
2003-05-01 17:00:00,1.10,,0.7,0.70,0.0
