datetime,BOE_RS_YoY_Actual,BOE_RS_YoY_Srv_Med,BOE_RS_YoY_Revised,BOE_RS_YoY_Prior
2004-08-01 17:00:00,3.0,,3.0,3.0
2004-07-01 17:00:00,3.0,,2.8,2.8
2004-06-01 17:00:00,2.8,,2.5,2.5
2004-05-01 17:00:00,2.5,,2.6,2.6
2004-04-01 17:00:00,2.6,,2.5,2.5
2004-03-01 17:00:00,2.5,,2.6,2.6
2004-02-01 17:00:00,2.6,,2.8,2.8
2004-01-01 17:00:00,2.8,,2.5,2.5
2003-12-01 17:00:00,2.5,,2.6,2.6
2003-11-01 17:00:00,2.6,,2.8,2.8
2003-10-01 17:00:00,2.8,,2.9,2.9
2003-09-01 17:00:00,2.9,,3.1,3.1
2003-08-01 17:00:00,3.1,,2.9,2.9
2003-07-01 17:00:00,2.9,,3.0,3.0
2003-06-01 17:00:00,3.0,,3.1,3.1
2003-05-01 17:00:00,3.1,,3.1,3.1
2003-04-01 17:00:00,3.1,,3.2,3.2
2003-03-01 17:00:00,3.2,,2.9,2.9
2003-02-01 17:00:00,2.9,,2.9,2.9
2003-01-01 17:00:00,2.9,,2.6,2.6
2002-12-01 17:00:00,2.6,,2.1,2.1
2002-11-01 17:00:00,2.1,,1.7,1.7
2002-10-01 17:00:00,1.7,,1.4,1.4
2002-09-01 17:00:00,1.4,,1.5,1.5
2002-08-01 17:00:00,1.5,,1.0,1.0
2002-07-01 17:00:00,1.0,,1.1,1.1
2002-06-01 17:00:00,1.1,,1.5,1.5
2002-05-01 17:00:00,1.5,,1.3,1.3
2002-04-01 17:00:00,1.3,,1.0,1.0
2002-03-01 17:00:00,1.0,,1.3,1.3
2002-02-01 17:00:00,1.3,,0.7,0.7
2002-01-01 17:00:00,0.7,,0.9,0.9
2001-12-01 17:00:00,0.9,,1.6,1.6
2001-11-01 17:00:00,1.6,,1.7,1.7
2001-10-01 17:00:00,1.7,,2.1,2.1
2001-09-01 17:00:00,2.1,,1.6,1.6
2001-08-01 17:00:00,1.6,,1.9,1.9
2001-07-01 17:00:00,1.9,,2.1,2.1
2001-06-01 17:00:00,2.1,,1.8,1.8
2001-05-01 17:00:00,1.8,,2.3,2.3
2001-04-01 17:00:00,2.3,,2.7,2.7
2001-03-01 17:00:00,2.7,,2.7,2.7
2001-02-01 17:00:00,2.7,,2.9,2.9
2001-01-01 17:00:00,2.9,,3.2,3.2
2000-12-01 17:00:00,3.2,,3.1,3.1
2000-11-01 17:00:00,3.1,,3.3,3.3
2000-10-01 17:00:00,3.3,,3.0,3.0
2000-09-01 17:00:00,3.0,,3.3,3.3
2000-08-01 17:00:00,3.3,,3.3,3.3
2000-07-01 17:00:00,3.3,,3.1,3.1
2000-06-01 17:00:00,3.1,,3.0,3.0
2000-05-01 17:00:00,3.0,,2.6,2.6
