datetime,US_EHOIC_WoW_Actual,US_EHOIC_WoW_Srv_Med,US_EHOIC_WoW_Revised,US_EHOIC_WoW_Prior
2019-11-06 23:30:00,0.106,,0.087,0.087
2019-10-30 22:30:00,0.087,,0.106,0.106
2019-10-23 22:30:00,0.106,,0.516,0.516
2019-10-17 23:00:00,0.516,,-0.779,-0.779
2019-10-09 22:30:00,-0.779,,0.481,0.481
2019-10-02 22:30:00,0.481,,0.238,0.238
2019-09-25 22:30:00,0.238,,-0.295,-0.295
2019-09-18 22:30:00,-0.295,,0.285,0.285
2019-09-11 22:30:00,0.285,,0.684,0.684
2019-09-05 23:00:00,0.684,,-0.434,-0.434
2019-08-28 22:30:00,-0.434,,0.228,0.228
2019-08-21 22:30:00,0.228,,0.205,0.205
2019-08-14 22:30:00,0.205,,-0.528,-0.528
2019-08-07 22:30:00,-0.528,,0.333,0.333
2019-07-31 22:30:00,0.333,,-0.116,-0.116
2019-07-24 22:30:00,-0.116,,0.889,0.889
2019-07-17 22:30:00,0.889,,0.264,0.264
2019-07-10 22:30:00,0.264,,-0.134,-0.134
2019-07-03 22:30:00,-0.134,,-0.538,-0.538
2019-06-26 22:30:00,-0.538,,-0.318,-0.318
2019-06-19 22:30:00,-0.318,,0.009,0.009
2019-06-12 22:30:00,0.009,,0.077,0.077
2019-06-05 22:30:00,0.077,,-0.347,-0.347
2019-05-30 23:00:00,-0.347,,-0.028,-0.028
2019-05-22 22:30:00,-0.028,,-0.577,-0.577
2019-05-15 22:30:00,-0.577,,0.242,0.242
2019-05-08 22:30:00,0.242,,-0.691,-0.691
2019-05-01 22:30:00,-0.691,,-0.288,-0.288
2019-04-24 22:30:00,-0.288,,0.793,0.793
2019-04-17 22:30:00,0.793,,0.577,0.577
2019-04-10 22:30:00,0.577,,-0.036,-0.036
2019-04-03 22:30:00,-0.036,,0.129,0.129
2019-03-27 22:30:00,0.129,,-0.558,-0.558
2019-03-20 22:30:00,-0.558,,-0.273,-0.273
2019-03-13 22:30:00,-0.273,,-0.263,-0.263
2019-03-06 23:30:00,-0.263,,0.251,0.251
2019-02-27 23:30:00,0.251,,-0.166,-0.166
2019-02-22 00:00:00,-0.166,,0.19,0.19
2019-02-13 23:30:00,0.19,,-0.456,-0.456
2019-02-06 23:30:00,-0.456,,0.263,0.263
2019-01-30 23:30:00,0.263,,0.224,0.224
2019-01-25 00:00:00,0.224,,0.346,0.346
2019-01-16 23:30:00,0.346,,0.224,0.224
2019-01-09 23:30:00,0.224,,0.256,0.256
2019-01-05 00:00:00,0.256,,-0.169,-0.169
2018-12-29 00:00:00,-0.169,,-0.136,-0.136
2018-12-19 23:30:00,-0.136,,0.256,0.256
2018-12-12 23:30:00,0.256,,-0.578,-0.578
2018-12-07 00:00:00,-0.578,,-0.232,-0.232
2018-11-28 23:30:00,-0.232,,1.162,1.162
2018-11-21 23:30:00,1.162,,-0.308,-0.308
2018-11-16 00:00:00,-0.308,,-0.178,-0.178
2018-11-07 23:30:00,-0.178,,-0.247,-0.247
2018-10-31 22:30:00,-0.247,,0.007,0.007
2018-10-24 22:30:00,0.007,,1.059,1.059
2018-10-17 22:30:00,1.059,,0.601,0.601
2018-10-11 23:00:00,0.601,,-0.052,-0.052
2018-10-03 22:30:00,-0.052,,0.13,0.13
2018-09-26 22:30:00,0.13,,0.495,0.495
2018-09-19 22:30:00,0.495,,0.206,0.206
2018-09-12 22:30:00,0.206,,0.196,0.196
2018-09-06 23:00:00,0.196,,-0.524,-0.524
2018-08-29 22:30:00,-0.524,,0.206,0.206
2018-08-22 22:30:00,0.206,,0.293,0.293
2018-08-15 22:30:00,0.293,,0.246,0.246
2018-08-08 22:30:00,0.246,,-0.112,-0.112
2018-08-01 22:30:00,-0.112,,-0.178,-0.178
2018-07-25 22:30:00,-0.178,,-0.319,-0.319
2018-07-18 22:30:00,-0.319,,-0.005,-0.005
2018-07-11 22:30:00,-0.005,,0.104,0.104
2018-07-05 23:00:00,0.104,,-0.025,-0.025
2018-06-27 22:30:00,-0.025,,0.037,0.037
2018-06-20 22:30:00,0.037,,0.04,0.04
2018-06-13 22:30:00,0.04,,-0.282,-0.282
2018-06-06 22:30:00,-0.282,,-0.808,-0.808
2018-05-31 23:00:00,-0.808,,0.451,0.451
2018-05-23 22:30:00,0.451,,-0.31,-0.31
2018-05-16 22:30:00,-0.31,,-0.208,-0.208
2018-05-09 22:30:00,-0.208,,-0.47,-0.47
2018-05-02 22:30:00,-0.47,,-0.754,-0.754
2018-04-25 22:30:00,-0.754,,-0.26,-0.26
